### Module positions - created on 11/16/17 22:14:14 ###
### Printed by Pcbnew version kicad 4.0.7
## Unit = mm, Angle = deg.
## Side : top
# Ref     Val                 Package                PosX       PosY       Rot  Side
C1        10uF                C_0603              90.3339  -120.0763   90.0000  top
C2        1uF                 C_0603              88.8734  -120.0763   90.0000  top
C3        100nF               C_0603              87.4129  -120.0763   90.0000  top
C4        100nF               C_0603              83.6930  -130.8735   90.0000  top
C5        10nF                C_0603              85.0900  -130.8735   90.0000  top
C6        100nF               C_0603              91.8845  -137.2235    0.0000  top
C7        10nF                C_0603              85.0900  -135.6360  270.0000  top
C8        100nF               C_0603              86.3600  -128.7780  180.0000  top
C9        100nF               C_0603              92.6592  -130.8735   90.0000  top
C10       10nF                C_0603              94.0562  -130.8735   90.0000  top
C11       10nF                C_0603              92.7100  -134.9375  270.0000  top
D1        LED_Small           LED_0603            91.6305  -122.1105  180.0000  top
D2        LED_Small           LED_0603            86.1695  -122.1105  180.0000  top
L1        Ferrite_Bead        L_0603              88.9000  -122.9360   90.0000  top
R1        4.7k                R_0603              91.8845  -138.6840    0.0000  top
R2        330                 R_0603              91.6305  -123.5075  180.0000  top
R3        330                 R_0603              86.1695  -123.5075  180.0000  top
U1        MachXO2-1200-QFN32  32QFN               88.9000  -132.9055  180.0000  top
## End
